,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
17,439668,BMCE,2022,2022-09-01,2023-08-31,S,D,V,4.0,2022-08-16,34402.0,2021-07-29,UTRECHT,I,S,N,N,2022-06-30,J,NVT,N,B,2021-09-01,MCCE-BV-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,372,2020-05-28,17CK00,J,GD,2020-05-28,J,2003-12-03,V,NL,2020.0,N,HAVO,J,372,18,9,2020,pending,1,2022
76,274166,BAPE,2022,2022-09-01,2022-11-30,S,B,V,4.0,2022-08-23,35158.0,2021-07-29,AMERSFOORT,U,S,N,N,2022-08-14,J,NVT,N,D,2017-09-01,APE-PROPV-17,2019-04-12,passed,N,2019-06-12,2019-05-23,J,J,N,611,2015-03-19,25DW00,J,GD,2015-03-19,N,1994-07-11,V,NL,2013.0,J,HBO,J,611,28,3,2015,pending,0,2022
174,284643,BAPE,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-27,35158.0,2021-07-29,AMERSFOORT,I,S,N,N,2022-08-26,J,NVT,N,B,2015-09-01,OTRH-VT-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,611,2017-06-26,25DW16,J,GD,2017-06-26,N,1997-06-30,M,TUR,2014.0,J,HBO,J,611,25,1,2017,pending,1,2022
184,434080,BTICIC,2022,2022-09-01,2023-08-31,S,B,L,4.0,2022-08-28,30020.0,2021-07-29,UTRECHT,I,S,N,N,2022-08-28,J,NVT,N,B,2021-09-01,TICT-DUBACSC-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,Others,2020-06-29,25LZ00,J,GD,2020-06-29,J,2001-02-10,M,NL,2020.0,J,MBO,J,25189,21,1,2020,pending,1,2022
194,437896,BGHBZO,2022,2022-09-01,2023-08-31,S,D,V,4.0,2022-07-22,34538.0,2021-07-29,AMERSFOORT,I,S,N,N,2022-06-10,J,NVT,N,D,2020-09-01,GZO-PROP-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2024-02-02,N,2000-03-25,V,SPA,2020.0,N,HBO,J,591,22,12,2019,done,1,2022
266,431004,BAPA,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-06-21,34609.0,2021-07-29,UTRECHT,I,S,N,N,2022-05-13,J,NVT,N,D,2020-09-01,APA-PROPV-20,2021-07-09,passed,N,2021-09-16,2021-08-24,J,J,N,Others,2020-07-17,30RR00,J,GD,2020-07-17,J,2002-01-23,V,NL,2020.0,J,MBO,J,25148,20,16,2020,pending,0,2022
489,436068,BAIV,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-06-12,39268.0,2021-07-29,UTRECHT,I,S,N,N,2022-06-10,J,NVT,N,D,2020-09-01,AIV-PROPV-20,2021-06-25,passed,N,2021-09-10,2021-07-15,J,J,N,373,2020-06-04,03XS00,J,GD,2020-06-04,N,2003-05-08,V,NL,2020.0,N,HAVO,J,373,19,12,2020,pending,0,2022
538,339184,BAPE,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-22,35158.0,2021-07-29,AMERSFOORT,I,S,N,N,2022-07-27,J,NVT,N,HN,2020-09-01,A-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,372,2016-06-16,06SU00,J,GD,2016-06-16,J,1998-07-06,V,NL,2017.0,N,HAVO,J,372,24,5,2016,done,1,2022
594,418126,BJJO,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-07-13,34686.0,2021-07-29,UTRECHT,I,S,N,N,2022-07-12,J,NVT,N,D,2019-09-01,JJO-DV-19,2021-01-15,passed,N,2021-03-05,2021-02-11,J,J,N,611,2021-01-15,25DW00,J,GD,2021-01-15,N,2001-06-30,V,NL,2019.0,J,HBO,J,611,21,7,2021,pending,0,2022
708,358305,BMIBU,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-29,30029.0,2021-07-29,UTRECHT,I,S,N,N,2022-08-15,J,NVT,N,B,2018-09-01,MBIB-BV-17-FT,2024-03-19,passed,J,2024-04-15,2024-04-02,J,J,N,179,2017-06-14,29WG00,J,GD,2017-06-14,J,1999-06-23,V,NL,2017.0,N,VWO,J,179,23,2,2017,pending,0,2022
743,438479,BASW,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-11,34116.0,2021-07-29,UTRECHT,I,S,N,N,2022-07-26,J,NVT,N,D,2020-09-01,TLSC-PROPV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2024-05-31,25DW00,J,GD,2024-05-31,N,1999-09-15,V,NL,2020.0,N,HBO,J,591,22,5,2024,pending,1,2022
758,300463,BTICIC,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-24,30020.0,2021-07-29,UTRECHT,I,S,N,N,2022-08-23,J,NVT,N,D,2014-09-01,TICT-VINP-14,2015-10-13,passed,N,2016-01-19,2015-12-11,J,J,N,591,2019-06-12,25DW00,N,GV,2019-08-05,N,1993-08-17,M,NL,2014.0,N,HBO,J,591,29,1,2019,pending,0,2022
775,326948,BJDE,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-07-06,34092.0,2021-07-29,UTRECHT,I,S,N,N,2022-06-24,J,NVT,N,B,2020-09-01,JDE-BV-20,2023-10-25,passed,J,2023-11-02,2023-10-30,J,J,N,591,2019-06-12,07GR06,N,N,2013-03-21,N,1999-06-03,M,NL,2018.0,J,HBO,J,591,23,10,2019,pending,0,2022
826,284643,BAPE,2022,2022-09-01,2023-08-31,S,B,V,4.0,2022-08-27,35158.0,2021-07-29,AMERSFOORT,I,S,N,N,2022-08-26,J,NVT,N,B,2015-09-01,OTRH-VT-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,372,2014-06-12,14RC00,J,GD,2014-06-12,J,1997-06-30,M,TUR,2014.0,N,HAVO,J,372,25,1,2014,pending,1,2022
