,STUDENT_NUM,STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,ESTABLISHMENT_LOCATION,REGISTRATION_STATUS,PRIOR_EDU_STATUS,LANGUAGE_TEST_RESULTS,UPPER_YEAR_STUDENT_REQUEST,DATE_ENROLLMENT_REQUEST,FINANCING,STUDY_CHECK_PARTICIPATION,FLEXIBLE_STUDY_PARTICIPATION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,FIRST_DEGREE_CLASSIFICATION,EXAM_REGISTRATION_DATE,DATE_EXAM_DETAILS_MODIFIED,EXAM_DETAILS_SENT_DUO,FROZEN_STUDENT_STATUS,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_FINAL_EXAM_DATE,SCHOOL_DESCRIPTION,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,PRIOR_EDUCATION_DESCRIPTION,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PREFERRED_EDUCATION,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT,PRIOR_EDUCATION_IBG,STUDENT_AGE,ENROLLMENT_WINDOW,PRIOR_EXAM_YEAR,EXAM_BEFORE_ENROLLMENT_STATUS,DROPOUT_RISK,YEAR
46,408645,BTLCCY,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-11,34396.0,2021-08-12,UTRECHT,I,S,N,N,2021-08-02,J,NVT,N,B,2023-09-01,TCHY-BACHV-23,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,371,2018-06-29,14SM04,J,GD,2018-06-29,J,1999-12-29,M,NL,2019.0,J,HAVO,J,371,21,4,2018,done,1,2021
82,440985,BTLCCE,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-19,34275.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-28,J,NVT,N,B,2021-09-01,TCHT-BACHV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,591,2019-06-12,25DW00,N,GV,2020-07-27,N,2003-10-08,V,NL,2020.0,J,HBO,J,591,17,9,2019,done,1,2021
87,351676,BGHBHU,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-06-26,34091.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-26,J,NVT,N,B,2020-09-01,GHU-HF-20,2023-08-31,passed,J,2023-09-12,2023-09-04,J,J,N,591,2023-08-31,25DW00,J,GD,2023-08-31,N,1997-12-06,V,NL,2019.0,J,HBO,J,591,23,10,2023,pending,0,2021
226,336634,BOEVSCH2,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-08-27,35199.0,2021-08-31,UTRECHT,I,S,N,N,2021-08-27,J,NVT,N,B,2017-09-01,TCIF-VSIEBAC-17,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,370,2019-06-12,02TG00,N,N,2013-03-21,J,1998-08-12,M,NL,2016.0,J,HAVO,J,370,23,1,2019,pending,1,2021
228,445315,BGHBFA,2021,2021-09-01,2022-08-31,S,D,V,4.0,2021-07-29,34090.0,2021-08-03,UTRECHT,I,S,N,N,2021-07-14,J,NVT,N,B,2021-09-01,GFA-HF.VT-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,601,2020-08-06,25DW00,J,DD,2020-08-13,N,1999-02-03,V,NL,2020.0,J,VO,J,601,22,7,2020,pending,1,2021
344,413560,BGHBCE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-07-14,34571.0,2021-07-29,UTRECHT,I,S,N,N,2021-06-09,J,NVT,N,B,2020-09-01,GIBS-HF.VTOT-20,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,374,2018-06-29,23HC01,J,GD,2018-06-29,J,2001-04-06,V,NL,2019.0,J,HAVO,J,374,20,12,2018,done,1,2021
393,393025,BMBDK,2021,2021-09-01,2022-01-21,S,D,V,4.0,2021-08-23,34035.0,2021-08-24,UTRECHT,U,S,N,N,2021-08-13,J,NVT,N,B,2019-09-01,MBDKU-BV-18,2024-05-30,passed,J,2015-05-29,2024-06-13,N,J,N,611,2022-01-21,25DW00,J,GD,2022-01-21,N,2000-04-01,M,NL,2018.0,J,HBO,J,611,21,3,2022,pending,0,2021
406,261147,BOEVWIS2,2021,2021-09-01,2022-08-31,S,D,D,4.0,2021-06-16,35221.0,2021-07-29,UTRECHT,I,S,N,J,2021-06-12,J,J,N,B,2015-09-01,TCIF-VSIEBAC-15,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,SL 00591-02,2019-06-12,25DW00,N,GV,2013-03-21,N,1994-12-31,M,NL,2014.0,N,HBO,J,591,26,12,2019,pending,1,2021
413,274166,BAPE,2021,2021-09-01,2022-08-31,S,B,V,4.0,2021-08-22,35158.0,2021-08-24,AMERSFOORT,I,S,N,N,2021-08-22,J,NVT,N,HN,2019-02-01,A-HONOURS,2024-06-28,absent,J,2015-05-29,2024-07-01,N,J,N,741,2019-06-12,21PM00,N,N,2013-03-21,N,1994-07-11,V,NL,2013.0,J,WO,J,741,27,1,2019,pending,1,2021
484,255477,BASW,2021,2021-12-01,2022-08-31,S,B,V,0.0,2021-11-10,34116.0,2021-07-29,UTRECHT,G,N,N,J,2021-11-10,J,J,N,D,2021-07-01,TLSC-PROPV-21,2024-06-28,absent,J,2015-05-29,2024-07-01,N,N,N,10710,2009-03-04,04EM00,J,GD,2009-03-04,J,1988-05-04,V,NL,2011.0,N,MBO,J,10710,33,3,2009,done,1,2021
